# position.dat
#
# Position data for simulation of WSN nodes
# Automatically generated with Python
# Version: 0.10, 2012-may-02
# Author: Marcus Lund�n, SICS
# email: marcus.lunden@gmail.com
#
# Model used: Random Waypoint model
# Number of nodes: 17
# Time [s]: 28800.0 seconds
# Min speed [m/s]: 1.0
# Max speed [m/s]: 2.0
# Min pause time [s]: 60.0
# Max pause time [s]: 120.0
# Currently disregarding the first 0.0 seconds
# Resolution [s]: 6.0
# Maximum X-size [m]: 2000.0
# Maximum Y-size [m]: 2000.0
# Note that nodes index here start at zero due to Cooja input format.
#    However, the nodes are indexed >=1 in stats file.
#
#==========================================
0 0.0 73.4213023697 41.977289538
1 0.0 86.2569344118 79.8088081036
2 0.0 135.912871022 107.057416883
3 0.0 53.9816229833 25.8063523817
4 0.0 190.796977222 177.456671046
5 0.0 67.901180188 44.6450256959
6 0.0 72.9602676754 68.1863617097
7 0.0 139.588993012 176.491523544
8 0.0 172.625861233 47.0600546619
9 0.0 47.7607449748 178.699714065
10 0.0 94.315119721 68.2948877277
11 0.0 64.8767879959 180.799203913
12 0.0 160.217236122 101.521695509
13 0.0 148.853440938 81.4583394298
14 0.0 142.478842221 172.515086825
15 0.0 40.1152867254 103.322629199
16 0.0 51.285189585 53.5494403017
0 6.0 73.4213023697 41.977289538
1 6.0 86.2569344118 79.8088081036
2 6.0 135.912871022 107.057416883
3 6.0 53.9816229833 25.8063523817
4 6.0 190.796977222 177.456671046
5 6.0 67.901180188 44.6450256959
6 6.0 72.9602676754 68.1863617097
7 6.0 139.588993012 176.491523544
8 6.0 172.625861233 47.0600546619
9 6.0 47.7607449748 178.699714065
10 6.0 94.315119721 68.2948877277
11 6.0 64.8767879959 180.799203913
12 6.0 160.217236122 101.521695509
13 6.0 148.853440938 81.4583394298
14 6.0 142.478842221 172.515086825
15 6.0 40.1152867254 103.322629199
16 6.0 51.285189585 53.5494403017
0 12.0 73.4213023697 41.977289538
1 12.0 86.2569344118 79.8088081036
2 12.0 135.912871022 107.057416883
3 12.0 53.9816229833 25.8063523817
4 12.0 190.796977222 177.456671046
5 12.0 67.901180188 44.6450256959
6 12.0 72.9602676754 68.1863617097
7 12.0 139.588993012 176.491523544
8 12.0 172.625861233 47.0600546619
